controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Blank	Revive	Bring back a dead Player with $MainNum$ HealthIcon and a random Mood.	OtherPlayer	TargetIsDead	TargetRevive	1	8						Healing
Blank	Wait	Do nothing.	Self	None	None	0							Misc
Archer	Distract	An Elevated Player becomes Tired. Then deal $MainNum$ damage to them.	OnePlayer	TargetIsElevated	TargetBecomeTired/TargetAttack	1	4						Attack/MoodPlayer
Archer	Bullseye	This gains $PowNum$ PowerIcon. Then deal $MainNum$ damage to an Elevated Player.	Self-OnePlayer	None-TargetIsElevated	TargetGainPower-TargetAttack	1	2		1				Attack/StatEnemy
Archer	Cover	This becomes Focused and gains $DefNum$ DefenseIcon.	Self	None	TargetBecomeFocused/TargetGainDefense	1				1			MoodEnemy/StatEnemy
Archer	Aim_Up	This becomes Grounded, and a Grounded Player becomes Elevated.	Self-OnePlayer	None-TargetIsGrounded	TargetBecomeGrounded-TargetBecomeElevated	0							PositionPlayer/PositionEnemy
Barbarian	Fury	Deal $MainNum$ damage to the Player with the most HealthIcon.	OnePlayer	None	TargetAttack	1	5						Attack
Barbarian	Trample	The Player with the most HealthIcon loses $DefNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.	OnePlayer	None	TargetLoseDefense/TargetBecomeTargeted	0				1	2		StatPlayer
Barbarian	Brawl	The Player with the most HealthIcon. loses 2 Max HealthIcon.	OnePlayer	None	TargetMaxHealth	1						-2	Attack
Barbarian	Frenzy	This becomes Focused and gains $PowNum$ PowerIcon.	Self	None	TargetBecomeFocused/TargetGainPower	1			1				MoodEnemy/StatEnemy
Bat	Drain	Deal $MainNum$ damage to a Player. This gains $MainNum$ HealthIcon.	OnePlayer-Self	TargetEffective-None	TargetAttack-TargetHeal	1	2						Attack/Healing
Bat	Screech	A Player becomes Lively and loses $DefNum$ DefenseIcon.	OnePlayer	None	TargetBecomeLively/TargetLoseDefense	1				1			MoodPlayer/StatPlayer
Bat	Echolocate	This gains $PowNum$ PowerIcon.	Self	TargetPowerOrLess	TargetGainPower	1			2			3	StatEnemy
Bat	Bloodthirst	This becomes Tired and gets $StatusNum$ Extra Ability.	Self	TargetNotTired	TargetBecomeTired/TargetGetExtraAbility	1					1		MoodEnemy
Bees	Sting	Deal $MainNum$ damage to all Players. This becomes Targeted for $StatusNum$ Rounds.	AllPlayers-Self	None-None	TargetAttack-TargetBecomeTargeted	0	1				2		Attack
Bees	Honey	Another Elevated Enemy gains $MainNum$ HealthIcon.	OtherEnemy	TargetIsElevated/TargetInjured	TargetHeal	0	2						Healing
Bees	Swarm	Another Elevated Enemy becomes Protected for $StatusNum$ Rounds.	OtherEnemy	TargetIsElevated	TargetBecomeProtected	2					2		Misc
Bees	Support	Another Elevated Enemy gets $StatusNum$ Extra Ability.	OtherEnemy	TargetIsElevated	TargetGetExtraAbility	1					1		Misc
Cow	Charge	Deal $MainNum$ damage to the last Player who attacked this (if any).	OnePlayer	LastAttackerExists	TargetAttack	0	4						Attack
Cow	Milk	Another Enemy gains $MainNum$ HealthIcon and becomes Lively.	OtherEnemy	TargetInjured	TargetHeal/TargetBecomeLively	1	4						Healing/MoodEnemy
Cow	Graze	This gains $MainNum$ Max HealthIcon and $MainNum$ HealthIcon.	Self	None	TargetMaxHealth/TargetHeal	1	2					2	Healing
Cow	Bellow	This gains $DefNum$ DefenseIcon and becomes Targeted for $StatusNum$ Rounds.	Self	TargetDefenseOrLess/NoTargetedEnemy	TargetGainDefense/TargetBecomeTargeted	1				1	2		StatEnemy
Crow	Peck	Deal $MainNum$ damage to any Player.	OnePlayer	None	TargetAttack	0	2						Attack
Demon	Dark_Energy	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	4	6						Attack
Demon	Betray	Deal $MainNum$ damage to another Enemy. This gains $MiscNum$ Max HealthIcon, $SecNum$ HealthIcon, and $PowNum$ PowerIcon.	OtherEnemy-Self	None-None	TargetAttack-TargetMaxHealth/TargetHealSec/TargetGainPower	1	2	3	1			3	Healing/StatEnemy
Demon	Ritual	Another Enemy becomes Stunned for $StatusNum$ turn. This reduces their active Ability CooldownIcon by $MiscNum$.	OtherEnemy-Self	None-TargetActiveCooldown	TargetBecomeStunned-TargetDecreaseAllCooldown	1					1	1	Misc
Demon	Absorb	All other Players and Enemies lose $PowNum$ PowerIcon.	AllPlayers-AllOtherEnemies	None-None	TargetLosePower-TargetLosePower	1			1				StatPlayer
Dragon	Firebreath	If this is Elevated, deals $MainNum$ damage to all Players.	Self-AllPlayers	TargetIsElevated-None	None-TargetAttack	1	3						Attack
Dragon	Roost	If this is Elevated, it becomes Grounded and gains $MainNum$ HealthIcon.	Self	TargetIsElevated/TargetInjured	TargetBecomeGrounded/TargetHeal	0	4						Healing/PositionEnemy
Dragon	Take_Flight	All Grounded Enemies becomes Elevated.	AllEnemies	TargetIsGrounded	TargetBecomeElevated	0							PositionEnemy
Dragon	Roar	This gains $DefNum$ DefenseIcon and switches Positions.	Self	None	TargetGainDefense/TargetSwitchPosition	1				1			StatEnemy/PositionEnemy
Drone	Sound_Waves	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	1	2						Attack
Drone	Alarm	This gains $PowNum$ PowerIcon and becomes Elevated and Locked for $StatusNum$ Rounds.	Self	None	TargetGainPower/TargetBecomeElevated/TargetBecomeLocked	0			1		2		PositionEnemy/StatEnemy
Ghost	Jumpscare	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	1	2						Attack
Ghost	Lament	This and another Enemy both become Tired.	Self-OtherEnemy	None-TargetNotTired	TargetBecomeTired-TargetBecomeTired	0							MoodEnemy
Ghost	Possession	A Grounded Player becomes Elevated and loses $PowNum$ PowerIcon.	OnePlayer	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1				PositionPlayer/StatPlayer
Ghost	Release	An Elevated Player becomes Grounded and Stunned for $StatusNum$ turn.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetBecomeStunned	2					1		PositionPlayer
Herald	Flag_Whack	Deal $MainNum$ damage to an Elevated Player.	OnePlayer	TargetIsElevated	TargetAttack	0	2						Attack
Herald	Announce	Summon a random $MiscNum$ StarIcon Enemy.	Self	CanSummon	SummonStar	2						3	Misc
Kitty	Scratch	Deal $MainNum$ damage to a Player at the same Position.	OnePlayer	TargetSamePosition	TargetAttack	0	2						Attack
Kitty	Climb_Up	If this is Grounded, it becomes Elevated and gains $DefNum$ DefenseIcon.	Self	TargetIsGrounded	TargetBecomeElevated/TargetGainDefense	0				1			StatEnemy/PositionEnemy
Kitty	Reflex	If this is Elevated, it becomes Grounded and gains $MainNum$ HealthIcon.	Self	TargetIsElevated	TargetBecomeGrounded/TargetHeal	0	2						Healing/PositionEnemy
Kitty	Lure	A Player switches Positions and loses $PowNum$ PowerIcon.	OnePlayer	None	TargetSwitchPosition/TargetLosePower	1			1				PositionPlayer/StatPlayer
Leprechaun	Prank	If this took damage, deal $MainNum$ damage to all Players.	Self-AllPlayers	TargetNotMaxHealth-None	None-TargetAttack	0	3						Attack
Leprechaun	Offer_Gold	If this is at full HealthIcon, all Players gain $PowNum$ PowerIcon and $DefNum$ DefenseIcon.	Self-AllPlayers	TargetAtMaxHealth-None	None-TargetGainPower/TargetGainDefense	1			1	1			Misc
Ninja	Sneak_Attack	Deal $MainNum$ damage to the Player with the least amount of HealthIcon.	OnePlayer	None	TargetAttack	0	3						Attack
Ninja	Shurikens	Deal $MainNum$ damage to all Players with $MiscNum$ HealthIcon or more.	AllPlayers	TargetHealthOrMore	TargetAttack	1	3					5	Attack
Ninja	Skulk	If this is Elevated, it becomes Grounded and Protected for $StatusNum$ Rounds.	Self	TargetIsElevated	TargetBecomeGrounded/TargetBecomeProtected	1					2		PositionEnemy
Ninja	Wall_Climb	If this is Grounded, it becomes Elevated and gains $PowNum$ PowerIcon.	Self	TargetIsGrounded	TargetBecomeElevated/TargetGainPower	1			1				PositionEnemy/StatEnemy
