controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Knight	Battle_Cry	A Player becomes Focused and gains $DefNum$ Defense.	OnePlayer	None	TargetBecomeFocused/TargetGainDefense	1				1			MoodPlayer/StatPlayer
Knight	Cheer	Another Player becomes Lively and gets $StatusNum$ Extra Ability.	OtherPlayer	None	TargetBecomeLively/TargetGetExtraAbility	1					1		MoodPlayer
Knight	Debilitate	An Enemy at the same Position becomes Tired and loses $DefNum$ Defense.	OneEnemy	TargetSamePosition	TargetBecomeTired/TargetLoseDefense	1				1			MoodEnemy/StatEnemy
Knight	Dedicate	This becomes Focused. Then deal $MainNum$ damage to an Enemy at the same Position.	Self-OneEnemy	None-TargetSamePosition	TargetBecomeFocused-TargetAttack	1	5						Attack/MoodPlayer
Knight	Duel	Deal $MainNum$ damage to an Enemy at the same Position. They gain $PowNum$ Power and lose $DefNum$ Defense.	OneEnemy	TargetSamePosition	TargetAttack/TargetGainPower/TargetLoseDefense	0	3		1	1			Attack/StatEnemy
Knight	Heavy_Sword	This becomes Tired. Then deal $MainNum$ damage to an Enemy at the same Position.	Self-OneEnemy	None-TargetSamePosition	TargetBecomeTired-TargetAttack	1	5						Attack/MoodPlayer
Knight	Immobilize	Deal $MainNum$ damage to an Enemy at the same Position. They become Locked for $StatusNum$ Round.	OneEnemy	TargetSamePosition	TargetAttack/TargetBecomeLocked	0	3					1	Attack
Knight	Impale	Deal $MainNum$ damage to an Enemy at the same Position. They becomes Stunned for $StatusNum$ turn.	OneEnemy	TargetSamePosition	TargetAttack/TargetBecomeStunned	2	3					1	Attack
Knight	Joust	Deal $MainNum$ damage to an Enemy at the same Position. Then this loses $PowNum$ Power.	OneEnemy-Self	TargetSamePosition-None	TargetAttack-TargetLosePower	0	4		1				Attack
Knight	Knock_Down	Deal $MainNum$ damage to an Enemy at the same Position. Then they lose $DefNum$ Defense.	OneEnemy	TargetSamePosition	TargetAttack/TargetLoseDefense	1	4			1			Attack/StatEnemy
Knight	Mirror	Deal $MainNum$ damage to an Enemy with the same Position and Mood.	OneEnemy	TargetSamePosition/TargetSameMood	TargetAttack	0	4						Attack
Knight	Motivate	An Enemy at the same Position becomes Lively. Then deal $MainNum$ damage to them.	OneEnemy	TargetSamePosition	TargetBecomeLively/TargetAttack	1	5						Attack/MoodEnemy
Knight	Obsess	All Enemies become Focused.	AllEnemies	None	TargetBecomeFocused	1							MoodEnemy
Knight	Occupy	An Enemy at the same Position becomes Focused. Then deal $MainNum$ damage to them.	OneEnemy	TargetSamePosition	TargetBecomeFocused/TargetAttack	1	5						Attack/MoodEnemy
Knight	Overwhelm	An Enemy at the same Position becomes Tired. Then deal $MainNum$ damage to them.	OneEnemy	TargetSamePosition	TargetBecomeTired/TargetAttack	1	5						Attack/MoodEnemy
Knight	Patience	A Player becomes Tired, and an Enemy becomes Lively.	OnePlayer-OneEnemy	None-None	TargetBecomeTired-TargetBecomeLively	1							MoodPlayer/MoodEnemy
Knight	Pillage	All Players gain $DefNum$ Defense. An Enemy loses $DefNum$ Defense.	AllPlayers-OneEnemy	None-None	TargetGainDefense-TargetLoseDefense	2				1			StatPlayer/StatEnemy
Knight	Prioritize	Deal $MainNum$ damage to an Enemy at the same Position. They become Targeted for $StatusNum$ Rounds.	OneEnemy	TargetSamePosition	TargetAttack/TargetBecomeTargeted	0	3				2		Attack
Knight	Redirect	Another Player gains $DefNum$ Defense and becomes Targeted for $StatusNum$ Round.	OtherPlayer	None	TargetGainDefense/TargetBecomeTargeted	1				1	2		StatPlayer
Knight	Strike	This gains $DefNum$ Defense. Then deal $MainNum$ damage to an Enemy at the same Position.	Self-OneEnemy	None-TargetSamePosition	TargetGainDefense-TargetAttack	2	4			1			Attack/StatPlayer
Knight	Twirl	This becomes Lively. Then deal $MainNum$ damage to an Enemy at the same Position.	Self-OneEnemy	None-TargetSamePosition	TargetBecomeLively-TargetAttack	1	5						Attack/MoodPlayer
Angel	Assist	Another Grounded Player gains $MainNum$ Health and gets $StatusNum$ Extra Ability.	OtherPlayer	TargetIsGrounded	TargetHeal/TargetGetExtraAbility	2	3				1		Healing
Angel	Concentrate	An Elevated Player gains $MainNum$ Health and becomes Focused.	OnePlayer	TargetIsElevated	TargetHeal/TargetBecomeFocused	1	4						Healing/MoodPlayer
Angel	Deplete	A Grounded Enemy loses $DefNum$ Defense. Each Grounded Player gains $MainNum$ Health.	OneEnemy-AllPlayers	TargetIsGrounded-TargetIsGrounded	TargetLoseDefense-TargetHeal	1	3			1			Healing/StatEnemy
Angel	Disorient	An Enemy switches Positions and loses $DefNum$ Defense.	OneEnemy	None	TargetSwitchPosition/TargetLoseDefense	1				1			PositionEnemy/StatEnemy
Angel	Exhaust	An Enemy becomes Tired and loses $PowNum$ Power.	OneEnemy	None	TargetBecomeTired/TargetLosePower	1			1				MoodEnemy/StatEnemy
Angel	Exorcise	An Elevated Enemy loses $PowNum$ Power. Each Elevated Player gains $MainNum$ Health.	OneEnemy-AllPlayers	TargetIsElevated-TargetIsElevated	TargetLosePower-TargetHeal	1	3		1				Healing/StatEnemy
Angel	Gift_of_Flight	A Grounded Enemy becomes Lively and Elevated.	OneEnemy	TargetIsGrounded	TargetBecomeElevated/TargetBecomeLively	1							MoodEnemy/PositionEnemy
Angel	Immunity	Another Elevated Player gains $MainNum$ Health and becomes Protected for $StatusNum$ Round.	OtherPlayer	TargetIsElevated	TargetHeal/TargetBecomeProtected	2	3				1		Healing
Angel	Joy	A Grounded Player gains $MainNum$ Health and becomes Lively.	OnePlayer	TargetIsGrounded	TargetHeal/TargetBecomeLively	1	4						Healing/MoodPlayer
Angel	Level_Up	A Player gains $PowNum$ Power, $DefNum$ Defense, and becomes Stunned for $StatusNum$ turn.	OnePlayer	None	TargetGainPower/TargetGainDefense/TargetBecomeStunned	1			1	1		1	StatPlayer
Angel	Lift_Up	A Grounded Player gains $MainNum$ Health and becomes Elevated.	OnePlayer	TargetIsGrounded	TargetHeal/TargetBecomeElevated	0	3						Healing/PositionPlayer
Angel	Overheal	All Players gain $MiscNum$ Max Health and $MainNum$ Health.	AllPlayers	None	TargetMaxHealth/TargetHeal	2	2					1	Healing
Angel	Plummet	An Elevated Enemy becomes Focused and Grounded.	OneEnemy	TargetIsElevated	TargetBecomeGrounded/TargetBecomeFocused	1							MoodEnemy/PositionEnemy
Angel	Preserve	A Player gains $MainNum$ Health and becomes Locked for $StatusNum$ Round.	OnePlayer	None	TargetHeal/TargetBecomeLocked	0	3				1		Healing
