rulesName	rulesDescription
Bloodied	If someone is at 6 HealthIcon or more, their Abilities have 1 more CooldownIcon; otherwise 1 less CooldownIcon.
Charge_Up	Each Wave: A random Enemy gains 5 Max HealthIcon, 5 HealthIcon, 2 PowerIcon, 2 DefenseIcon, and becomes Stunned for 3 turns.
Comfort_Zone	Anyone who's at their starting Position has +1 DefenseIcon; otherwise -1 DefenseIcon.
Crowds	Waves 1-4: Add another 1 StarIcon Enemy at random, and all Enemies lose 1 Max HealthIcon.
Inspiration	Waves 2-5: Players get a new set of random Abilities.
Lucky	When anyone becomes Lively, they get 1 Extra Ability.
Passion	When anyone becomes Focused, they gain 1 PowerIcon and 1 DefenseIcon.
Preparation	After anyone uses an Attack or Healing Ability, they lose 1 PowerIcon; otherwise they gain 1 PowerIcon.
Rest	When anyone becomes Tired, they gain 2 HealthIcon.
Topsy_Turvy	Each Round: all Players switch Positions.
