Title	RANDOMLY GENERATED
Blank	
Author_Credit	by Thomas Tang (DZ)
Last_Update	Last Updated: Mar 02, 2026
Language	Language
Translator_Credit	Original Language
Upload_Translation	Upload Translation
Download_English	Download English
Loading	Loading...
Play_Game	Play Game
Update_History	Update History
Story	Story
Story_Text	You are a Knight, an Angel, and a Wizard, but not at the same time. You didn't have the EXP or connections to get into the good RPGs, so you're starting at this one. The costumes are obvious hand-me-downs and the work is unpaid. It's also a virtual setting, and there's no one else to co-star with.\nYour quest is to beat up any enemies that look at you the wrong way. That NPC gave you a rock and a turnip to start with, but you didn’t remember that fact. Turns out that all the budget went into the gameplay and nothing in the game makes any cents.\nAnyways, you must roll with the punches and work with whatever they gave you. And if all else fails, you can blame it on lag, your parents, and that really cute cat.
Daily_Challenge	Daily Challenge
Your_Timezone	Your Timezone: UTC $Time$
Next_Challenge	Next Challenge in: $Time$
Current_Date	$Month$ $Day$, $Year$
Month_1	January
Month_2	February
Month_3	March
Month_4	Aprl
Month_5	May
Month_6	June
Month_7	July
Month_8	August
Month_9	September
Month_10	October
Month_11	November
Month_12	December
Super_Effective	It's super effective! (+$MainNum$)
Not_Effective	It's not very effective... (-$MainNum$)
Increase_Cooldown	$MainNum$ of $Target$'s Abilities gain $MiscNum$ Cooldown.
Decrease_Cooldown	$MainNum$ of $Target$'s Abilities lose $MiscNum$ Cooldown.
Apply_Cooldown	$Target$'s $Ability$ is placed on $MiscNum$ Cooldown.
Special_Thanks	Special Thanks
All_Thanks	Seth Royston for showing me how to use Google Sheets with Unity \nLiam Cribbs for showing me how to auto-download Google Sheets contents \nFlan Falacci for thinking that this game deserved to be at Project Studio \nThis game was inspired by OMORI (by OMOCAT), and Epic Battle Fantasy V (by KupoGames) \nEveryone who tried this game at Playtest Thursday (somehow you all liked it)
Settings	Settings
Mood_Guide	Mood Guide
Close_Settings	Press any key to close
Close	Close
Random	Random
Animation_Time	Animation Time
Confirm_Decisions	Confirm Decisions
Confirm	Confirm
Rechoose	Rechoose
Display_Tooltip	Display Tooltip for keywords / icons
Cooldown	Cooldown
Cooldown_Text	Cooldown: Ability can't be used again until enough turns have passed.
Dead	Dead
Tired	Tired
Tired_Text	 +2 damage against Lively, -2 damage against Focused.
Lively	Lively
Lively_Text	 +2 damage against Focused, -2 damage against Tired.
Focused	Focused
Focused_Text	 +2 damage against Tired, -2 damage against Lively.
Grounded	Grounded
Grounded_Text	Can't be targeted by abilities that only affect Elevated targets.
Elevated	Elevated
Elevated_Text	Can't be targeted by abilities that only affect Grounded targets.
Health	Health
Health_Text	Health: Amount of damage this can take before dying.
Max_Health	Max Health
Power	Power
Power_Text	Higher Power = Stronger Attack and Healing Abilities.
Defense	Defense
Defense_Text	Higher Defense = Take less damage.
Protected	Protected
Protected_Text	Can't lose Power, Defense, or Health.
Blocked	Blocked
Blocked_Stat_Drop	$This$ is Protected from losing $MainNum$ $Stat$.
Locked	Locked
Locked_Text	Mood and Position can't change.
Blocked_Mood	$This$ is Locked and can't change Mood.
Blocked_Position	$This$ is Locked and can't change Position.
Stunned	Stunned
Stunned_Text	Skips a turn.
Targeted	Targeted
Targeted_Text	All single-target Abilities must target them if possible.
Extra	Extra Ability
Extra_Text	Can use another Ability.
Gain_Extra_Ability	$This$ gets extra Abilities on their turn ($MainNum$).
Use_Extra_Ability	$This$ uses another Ability.
Star	Star
Star_Text	More Star = Stronger Enemy type.
Customize_Game	Customize Game
Customize_Description	Choose Player Abilities and Rules. Everything else will be randomized.
Defeat_Waves	Defeat $MainNum$ waves of enemies.
Title_Screen	Title Screen
Quit_Game	Quit
