Title	RANDOMLY GENERATED
Author_Credit	by Thomas Tang (DZ)
Last_Update	Last Updated: Dec 28, 2025
Language	Language
Translator_Credit	Original Language
Loading	Loading...
Play_Game	Play Game
Update_History	Update History
Story	Story
Story_Text	You are a Knight, an Angel, and a Wizard, but not at the same time. You didn't have the EXP or connections to get into the good RPGs, so you're starting at this one. The costumes are obvious hand-me-downs and the work is unpaid. It's also a virtual setting, and there's no one else to co-star with.\nYour quest is to beat up any enemies that look at you the wrong way. That NPC gave you a rock and a turnip to start with, but you didn’t remember that fact. Turns out that all the budget went into the gameplay and nothing in the game makes any cents.\nAnyways, you must roll with the punches and work with whatever they gave you. And if all else fails, you can blame it on lag, your parents, and that really cute cat.
Daily_Challenge	Daily Challenge
Your_Timezone	Your Timezone: UTC $Time$
Next_Challenge	Next Challenge in: $Time$
Current_Date	$Month$ $Day$, $Year$
Month_1	January
Month_2	February
Month_3	March
Month_4	Aprl
Month_5	May
Month_6	June
Month_7	July
Month_8	August
Month_9	September
Month_10	October
Month_11	November
Month_12	December
Cheats_and_Challenges	Cheats & Challenges
Cheat	Cheat
New_Abilities	New Abilities
New_Abilities_Text	Players get 6 new Abilities each wave
Knight_Reach	Knight Reach
Knight_Reach_Text	Knight can target Elevated Enemies
Weaker_Enemies	Weaker Enemies
Weaker_Enemies_Text	Enemies start with -2 Max Health
Slower_Enemy_Cooldowns	Slower Enemy Cooldowns
Slower_Enemy_Cooldowns_Text	Enemy Abilities have 1 more turn of Cooldown
Number_Cap	Number Cap
Number_Cap_Text	Enemies attack / heal for a max of 4
Challenge	Challenge
No_Revives	No Revives
No_Revives_Text	Reviving is disabled
Ineffectives_Fail	Ineffectives Fail
Ineffectives_Fail_Text	Ineffective attacks by Players do 0 damage
Player_Timer	Player Timer
Player_Timer_Text	10 seconds to do each Player's turn
Extra_Enemy_Turns	Extra Enemy Turns
Extra_Enemy_Turns_Text	New Enemies get 1 Extra Ability
More_Enemies	More Enemies
More_Enemies_Text	Waves 1-4 have another 1 Star Enemy
Clear_All	Clear All
Apply_Number_Cap	Amount capped at 4 (Number Cap).
Apply_Minimum	Amount capped at 1.
Apply_Ineffectives_Fail	$This$'s attack fails (Ineffectives Fail).
Failed	Failed
Super_Effective	It's super effective! (+$Num$)
Not_Effective	It's not very effective... (-$Num$)
Increase_Cooldown	$Num$ of $Target$'s Abilities gain $MiscStat$ Cooldown.
Decrease_Cooldown	$Num$ of $Target$'s Abilities lose $MiscStat$ Cooldown.
Apply_Cooldown	$Target$'s $Ability$ is placed on $MiscStat$ Cooldown.
Timer	Timer
Out_of_Time	$This$ runs out of time. (Player Timer)
Gain_New_Abilities	Players have new Abilities.
Special_Thanks	Special Thanks
Seth_Royston_Thanks	Seth Royston for showing me how to use Google Sheets with Unity
Liam_Cribbs_Thanks	Liam Cribbs for showing me how to auto-download Google Sheets contents
Flan_Falacci_Thanks	Flan Falacci for thinking that this game deserved to be at Project Studio
Inspiration_Thanks	This game was inspired by OMORI (by OMOCAT), and Epic Battle Fantasy V (by KupoGames)
Playtest_Thursday_Thanks	Everyone who tried this game at Playtest Thursday (somehow you all liked it)
Settings	Settings
Emotions_Guide	Emotions Guide
Close_Settings	Press any key to close
Close	Close
Random	Random
Animation_Time	Animation Time
Confirm_Decisions	Confirm Decisions
Confirm	Confirm
Rechoose	Rechoose
Display_Tooltip	Display Tooltip for keywords / icons
Cooldown	Cooldown
Cooldown_Text	Cooldown: Ability can't be used again until enough turns have passed.
Dead	Dead
Neutral	Neutral
Neutral_Text	Default Emotion.
Sad	Sad
Sad_Text	Effective against Happy. Gains 2 Health when it attacks; loses 2 Health otherwise.
Happy	Happy
Happy_Text	Effective against Angry. Gets an extra Ability if they don't attack; all Abilities have 1 more turn of Cooldown.
Angry	Angry
Angry_Text	Effective against Sad. +1 Power and +1 Defense; becomes Stunned when killing or healing someone to full Health.
Grounded	Grounded
Grounded_Text	Can't be targeted by abilities that only affect Elevated targets.
Elevated	Elevated
Elevated_Text	Can't be targeted by abilities that only affect Grounded targets.
Health	Health
Health_Text	Health: Amount of damage this can take before dying.
Max_Health	Max Health
Power	Power
Power_Text	Higher Power = Attack and healing abilities are stronger.
Defense	Defense
Defense_Text	Higher Defense = Take less damage from opposing attacks.
Protected	Protected
Protected_Text	Can't lose Stats or Health until their next turn.
Blocked	Blocked
Blocked_Stat_Drop	$This$ is Protected from losing $Num$ $Stat$.
Locked	Locked
Locked_Text	Emotion and Position can't change until their next turn.
Blocked_Emotion	$This$ is Locked and can't change Emotion.
Blocked_Position	$This$ is Locked and can't change Position.
Stunned	Stunned
Stunned_Text	Skips their next turn.
Miss_Turn	$This$ is Stunned and misses a turn.
Targeted	Targeted
Targeted_Text	All single-target Abilities must target them if possible.
Extra	Extra Ability
Extra_Text	Can use another Ability on their turn.
Gain_Extra_Ability	$This$ gains extra Abilities on their turn ($Num$).
Use_Extra_Ability	$This$ uses another Ability.
Star	Star
Star_Text	More Star = Stronger Enemy type.
Customize_Players	Customize Players
Customize_Description	Choose what Abilities and Emotions your players will have. Anything left blank will be randomized!
Choose_Emotion	Choose Emotion
Next_in_Line	Next in Line
Defeat_Waves	Defeat $Num$ waves of enemies.
Title_Screen	Title Screen
Quit_Game	Quit
Round	Round $Num$
Wave	Wave $Num$ / $Max$
Enter_Fight	$This$ enters the fight.
Quit_Fight	You quit.
Game_Won	You won!
Game_Lost	You lost.
Waves_Survived	Waves survived: $Num$
Time_Taken	Time taken: $Time$
Increase_Stat	$This$ gains $Num$ $Stat$.
Decrease_Stat	$This$ loses $Num$ $Stat$.
Become_New	$This$ becomes $Change$.
Change_Status	$This$ is $Status$ (turns: $Num$).
Died	$This$ has died.
Revived	$This$ comes back to life.
Emotion_Effect	$This$ is $Emotion$.
Choose_Ability	$This$: Choose an Ability.
Must_Choose_Targeted	$Target$ is Targeted.
Choose_One_Player	Choose a player to target ($Ability$).
Choose_Another_Player	Choose another player to target ($Ability$).
Choose_An_Enemy	Choose an enemy to target ($Ability$).
Confirm_No_Target	Use $Ability$?
Confirm_Target	Use $Ability$ on:
Tutorial	Tutorial
Tutorial_10	This is a turn-based RPG where you're given random Abilities to fight against random Enemies.
Tutorial_20	You always have the same 3 party members. Right click on the Knight to see what they do.
Tutorial_30	Here's your first Enemy. Use the Knight's Ability against them.
Tutorial_40	The Ability you used has a Cooldown, so you can't use it again this round. Instead use the other Ability
Tutorial_50	You killed your first Enemy! Now you may have noticed your Knight is Angry.
Tutorial_51	Everyone begins with a random Emotion. Emotions are effective against other Emotions, and have their own side effects.
Tutorial_52	Happy beats Angry, which beats Sad, which beats Happy. Neutral is neutral against everything else.
Tutorial_53	Your Knight is Angry, which means they get +1 Power (attacks and healing abilities are stronger by 1 point) and +1 Defense (take 1 less damage).
Tutorial_54	However, if they kill someone (like right now), or heal someone to full Health, they'll get Stunned and miss their next turn.
Tutorial_60	Here's your 2nd party member. Right click on the Angel to read what they do.
Tutorial_70	This Page is Happy. Happy is super effective against Angry (will deal an extra 2 damage), which puts your Knight at a disadvantage.
Tutorial_71	Normally Knight would take their turn before Angel would. But they're Stunned right now.
Tutorial_72	So instead, use the Angel’s Ability to heal the Knight.
Tutorial_80	Your Angel is Happy, which means they can use another Ability when they don't attack, but all their Abilities have 1 more turn of Cooldown.
Tutorial_81	Emotions also apply to Enemies. If you right click the Page, you'll see that their Ability got placed on Cooldown.
Tutorial_82	Your Angel didn’t attack, so they now can use another Ability. However, Assist is on Cooldown.
Tutorial_83	Instead, you can change the Page’s Emotion to Sad. That way, your Angry Knight will gain the advantage.
Tutorial_90	Everyone is either Grounded or Elevated. Your Knight always starts Grounded, and Angel always starts Elevated.
Tutorial_91	One of the Knight's big weaknesses is that they have no way to attack Elevated Enemies.
Tutorial_100	And now, your 3rd party member. Right click on the Wizard to read what they do.
Tutorial_110	Your Wizard has an Ability that forces all Elevated Enemies to be Grounded. Use Stalactites against the 2 Crows.
Tutorial_120	Your Wizard is Sad, which means every time they attack, they gain 2 Health. But if they don't attack, they lose 2 Health.
Tutorial_121	For your convenience, attacking Abilities are colored red, healing Abilities are colored green, the others are colored blue.
Tutorial_130	You can always remind yourself of what each Emotion does by opening the Emotion Guide (usually it's at the bottom right of the screen).
Tutorial_140	Anyways, now that all the Enemies are Grounded, your Knight is capable of hitting them, so finish them off.
Tutorial_150	You’ve completed the tutorial. In the main game, your 3 party members get 6 random Abilities.
Tutorial_151	To win, you'll have fight off 5 waves of random Enemies, with more powerful ones later on. Glhf!
Tutorial_Finished	Tutorial finished.
Next	Next
Encyclopedia	Encylopedia
Exit	Exit
Abilities	Abilities
